gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personIdOff,firstNameOff,familyNameOff,nameIOff,playerSlugOff,positionOff,commentOff,jerseyNumOff,personIdDef,firstNameDef,familyNameDef,nameIDef,playerSlugDef,jerseyNumDef,matchupMinutes,matchupMinutesSort,partialPossessions,percentageDefenderTotalTime,percentageOffensiveTotalTime,percentageTotalTimeBothOn,switchesOn,playerPoints,teamPoints,matchupAssists,matchupPotentialAssists,matchupTurnovers,matchupBlocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointersPercentage,helpBlocks,helpFieldGoalsMade,helpFieldGoalsAttempted,helpFieldGoalsPercentage,matchupFreeThrowsMade,matchupFreeThrowsAttempted,shootingFouls
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1628386,Jarrett,Allen,J. Allen,jarrett-allen,31,0:20,20.3,1.7,0.037,0.035,0.062,0,2,4,0,0,1,0,1,2,0.5,0,0,0.0,0,0,0,0.0,0,3,2
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1629636,Darius,Garland,D. Garland,darius-garland,10,0:22,22.2,3.6,0.029,0.038,0.054,0,0,2,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1627747,Caris,LeVert,C. LeVert,caris-levert,3,2:15,134.7,10.6,0.181,0.23,0.458,0,0,11,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,45,0:55,55.5,4.5,0.06,0.095,0.12,0,0,5,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1630596,Evan,Mobley,E. Mobley,evan-mobley,4,0:14,13.6,1.6,0.015,0.023,0.028,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1627777,Georges,Niang,G. Niang,georges-niang,20,0:38,38.3,3.5,0.057,0.066,0.125,0,0,8,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1630171,Isaac,Okoro,I. Okoro,isaac-okoro,35,1:43,103.3,10.6,0.192,0.177,0.351,0,0,7,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,00,1629622,Max,Strus,M. Strus,max-strus,1,3:20,199.8,14.1,0.29,0.342,0.667,0,3,16,1,0,1,0,1,4,0.25,1,1,1.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1628386,Jarrett,Allen,J. Allen,jarrett-allen,31,0:34,34.2,2.8,0.062,0.068,0.128,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1629636,Darius,Garland,D. Garland,darius-garland,10,0:45,45.0,4.4,0.059,0.089,0.115,0,2,10,0,0,0,0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1627747,Caris,LeVert,C. LeVert,caris-levert,3,0:00,0.2,1.0,0.0,0.0,0.002,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,45,0:26,26.3,2.5,0.028,0.052,0.052,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1630596,Evan,Mobley,E. Mobley,evan-mobley,4,2:43,162.8,11.8,0.18,0.322,0.364,0,2,8,1,0,0,1,1,3,0.333,0,1,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1627777,Georges,Niang,G. Niang,georges-niang,20,2:01,120.9,10.1,0.179,0.239,0.729,0,0,11,0,0,0,0,0,2,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1630171,Isaac,Okoro,I. Okoro,isaac-okoro,35,0:23,22.5,1.2,0.042,0.045,0.318,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,1629622,Max,Strus,M. Strus,max-strus,1,1:04,64.3,6.9,0.093,0.127,0.127,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630167,Obi,Toppin,O. Toppin,obi-toppin,F,,1,202684,Tristan,Thompson,T. Thompson,tristan-thompson,13,0:07,7.2,0.8,0.124,0.014,0.124,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1628386,Jarrett,Allen,J. Allen,jarrett-allen,31,4:23,263.1,20.8,0.477,0.358,0.689,0,4,20,0,0,0,0,1,4,0.25,0,0,0.0,0,0,0,0.0,2,2,1
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1629636,Darius,Garland,D. Garland,darius-garland,10,0:42,41.8,3.6,0.054,0.057,0.08,0,6,6,0,0,1,0,2,3,0.667,2,3,0.667,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1627747,Caris,LeVert,C. LeVert,caris-levert,3,0:15,15.2,1.4,0.021,0.021,0.048,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,45,0:46,45.7,4.4,0.049,0.062,0.065,0,2,8,0,0,0,0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1630596,Evan,Mobley,E. Mobley,evan-mobley,4,4:53,292.9,27.3,0.323,0.399,0.434,0,13,30,0,0,2,0,6,7,0.857,1,1,1.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1627777,Georges,Niang,G. Niang,georges-niang,20,0:31,31.3,3.5,0.046,0.043,0.137,0,0,5,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1630171,Isaac,Okoro,I. Okoro,isaac-okoro,35,0:52,51.8,3.2,0.096,0.071,0.207,0,1,3,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,1,2,1
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,1629622,Max,Strus,M. Strus,max-strus,1,1:01,61.2,5.7,0.089,0.083,0.115,0,5,13,0,0,0,0,2,3,0.667,1,1,1.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1626167,Myles,Turner,M. Turner,myles-turner,C,,33,202684,Tristan,Thompson,T. Thompson,tristan-thompson,13,0:38,38.4,3.8,0.656,0.052,0.656,0,2,6,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,2,2,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1628386,Jarrett,Allen,J. Allen,jarrett-allen,31,0:17,17.1,1.5,0.031,0.019,0.035,0,0,2,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1629636,Darius,Garland,D. Garland,darius-garland,10,1:33,93.1,6.4,0.121,0.101,0.142,0,2,6,0,0,0,0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1627747,Caris,LeVert,C. LeVert,caris-levert,3,1:59,119.0,11.0,0.16,0.129,0.236,0,3,13,0,0,0,0,1,2,0.5,1,1,1.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,45,7:31,450.6,37.7,0.487,0.489,0.592,0,4,48,0,0,1,0,2,4,0.5,0,1,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1630596,Evan,Mobley,E. Mobley,evan-mobley,4,0:44,43.9,4.8,0.048,0.048,0.058,0,5,7,1,0,1,0,2,3,0.667,1,1,1.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1627777,Georges,Niang,G. Niang,georges-niang,20,1:11,71.2,6.8,0.106,0.077,0.171,0,2,6,1,0,0,0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1630171,Isaac,Okoro,I. Okoro,isaac-okoro,35,0:15,14.6,1.5,0.027,0.016,0.041,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,11,1629622,Max,Strus,M. Strus,max-strus,1,0:57,56.8,5.2,0.082,0.062,0.092,0,0,4,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1628386,Jarrett,Allen,J. Allen,jarrett-allen,31,0:43,42.7,3.0,0.078,0.051,0.112,0,2,2,0,0,0,1,1,2,0.5,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1629636,Darius,Garland,D. Garland,darius-garland,10,5:15,315.2,22.5,0.411,0.375,0.583,0,2,22,3,0,1,1,1,4,0.25,0,2,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1627747,Caris,LeVert,C. LeVert,caris-levert,3,1:32,92.4,7.3,0.124,0.11,0.228,0,2,14,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,0.0,2,2,1
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,45,1:10,70.1,7.1,0.076,0.083,0.086,0,2,8,0,0,0,0,1,2,0.5,0,1,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1630596,Evan,Mobley,E. Mobley,evan-mobley,4,1:31,90.7,7.4,0.1,0.108,0.116,0,4,14,2,0,0,0,2,2,1.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1627777,Georges,Niang,G. Niang,georges-niang,20,0:14,13.5,1.1,0.02,0.016,0.04,0,0,3,1,0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1630171,Isaac,Okoro,I. Okoro,isaac-okoro,35,2:24,144.5,17.1,0.269,0.172,0.506,0,4,20,2,0,1,0,1,2,0.5,0,0,0.0,0,0,0,0.0,2,2,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,1629622,Max,Strus,M. Strus,max-strus,1,0:39,38.6,4.3,0.056,0.046,0.064,0,0,5,2,0,1,1,0,2,0.0,0,1,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1630169,Tyrese,Haliburton,T. Haliburton,tyrese-haliburton,G,,0,202684,Tristan,Thompson,T. Thompson,tristan-thompson,13,0:06,6.3,0.2,0.107,0.007,0.107,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1628386,Jarrett,Allen,J. Allen,jarrett-allen,31,0:14,14.4,1.1,0.026,0.019,0.051,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1629636,Darius,Garland,D. Garland,darius-garland,10,0:54,54.0,6.2,0.07,0.072,0.12,0,3,13,0,0,0,0,1,1,1.0,1,1,1.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1627747,Caris,LeVert,C. LeVert,caris-levert,3,3:19,198.7,17.3,0.267,0.266,0.331,0,0,8,1,0,0,0,0,1,0.0,0,1,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,45,1:11,70.9,6.2,0.077,0.095,0.136,0,6,12,0,0,1,0,2,3,0.667,2,3,0.667,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1630596,Evan,Mobley,E. Mobley,evan-mobley,4,0:15,15.1,2.1,0.017,0.02,0.032,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1627777,Georges,Niang,G. Niang,georges-niang,20,0:17,17.2,2.4,0.025,0.023,0.033,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1630171,Isaac,Okoro,I. Okoro,isaac-okoro,35,2:04,124.0,8.1,0.231,0.166,0.315,0,0,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,1629622,Max,Strus,M. Strus,max-strus,1,3:44,224.0,18.1,0.325,0.3,0.574,0,3,25,1,0,0,0,1,3,0.333,1,2,0.5,0,0,0,0.0,0,0,0
0022300001,1610612754,Indiana,Pacers,IND,pacers,1627741,Buddy,Hield,B. Hield,buddy-hield,,,7,202684,Tristan,Thompson,T. Thompson,tristan-thompson,13,0:07,6.6,0.5,0.113,0.009,0.113,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0
