SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400609,2025-01-21T00:00:00,DEN vs. PHI,W,30.35,10,15,0.667,2,3,0.667,5,5,1.0,5,8,13,10,2,4,1,1,1,5,27,21,70.6,1,1,62.0,1,1,1,1,63,41,53,18,24,38,10,29,39,1,7,46,33,27,44,2,11,29,8,36,39,16,20,1,1,26,1,30:21
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400593,2025-01-19T00:00:00,DEN @ ORL,W,30.116666666666667,7,9,0.778,0,0,0.0,6,7,0.857,1,13,14,10,2,3,3,1,0,5,20,20,67.8,1,1,56.0,1,1,1,1,64,61,67,4,59,69,59,24,25,25,55,10,22,27,44,8,1,29,1,36,58,17,23,1,1,42,1,30:07
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400579,2025-01-17T00:00:00,DEN @ MIA,W,30.611666666666668,9,12,0.75,1,2,0.5,5,5,1.0,2,10,12,10,2,1,0,0,1,3,24,6,54.4,1,1,49.0,1,1,1,1,62,46,63,6,42,53,24,29,39,1,39,31,40,27,44,40,34,1,8,55,51,39,55,1,1,56,1,30:37
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400559,2025-01-14T00:00:00,DEN @ DAL,W,28.933333333333334,4,7,0.571,1,2,0.5,1,2,0.5,2,12,14,10,1,2,0,0,3,4,10,23,46.8,1,1,39.0,1,1,1,1,69,69,69,36,42,53,24,63,60,60,39,16,22,27,58,19,34,1,40,49,70,12,62,1,1,66,1,28:56
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400540,2025-01-12T00:00:00,DEN @ DAL,W,38.63333333333333,6,13,0.462,0,2,0.0,7,9,0.778,4,14,18,9,4,3,0,1,4,10,19,-2,59.1,1,0,52.0,1,1,1,1,22,63,57,58,59,53,59,18,14,39,14,7,6,41,20,8,34,29,59,6,63,54,49,1,35,53,1,38:38
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400531,2025-01-10T00:00:00,DEN vs. BKN,W,38.18333333333333,14,21,0.667,1,1,1.0,6,8,0.75,5,7,12,15,1,4,0,1,1,6,35,33,82.9,1,1,71.0,1,1,1,1,28,14,23,18,42,63,1,24,18,41,7,52,40,7,58,2,34,29,8,24,17,3,8,1,1,11,1,38:11
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400484,2025-01-04T00:00:00,DEN @ SAS,W,43.31666666666667,19,35,0.543,3,8,0.375,5,6,0.833,4,5,9,10,2,2,2,1,3,7,46,7,81.8,1,0,76.0,1,1,1,1,4,2,3,44,9,9,40,29,32,28,14,66,54,27,44,19,3,29,40,17,4,36,10,1,35,9,1,43:19
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400475,2025-01-03T00:00:00,DEN vs. SAS,L,36.64833333333333,15,36,0.417,3,10,0.3,8,9,0.889,4,14,18,9,2,2,0,2,3,8,41,7,80.1,1,0,75.0,1,47,47,47,42,9,2,67,9,6,46,11,14,21,14,7,6,41,44,19,34,57,40,10,5,36,11,1,35,10,1,36:39
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400461,2025-01-01T00:00:00,DEN vs. ATL,W,29.516666666666666,8,16,0.5,1,1,1.0,6,6,1.0,3,14,17,15,2,0,1,1,2,5,23,31,66.9,1,1,58.0,1,1,1,1,68,56,46,50,42,63,1,24,32,1,22,7,11,7,44,63,11,29,22,36,53,5,26,1,1,37,1,29:31
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400445,2024-12-30T00:00:00,DEN @ UTA,W,38.3,14,33,0.424,3,9,0.333,5,6,0.833,7,15,22,11,2,4,0,2,0,6,36,20,88.9,1,1,80.0,1,1,1,1,24,14,4,65,9,8,41,29,32,28,2,6,1,22,44,2,34,57,1,24,16,17,4,1,1,5,1,38:18
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400432,2024-12-28T00:00:00,DEN vs. DET,W,37.233333333333334,11,17,0.647,4,5,0.8,11,14,0.786,1,8,9,8,2,0,0,0,4,11,37,25,57.8,0,0,58.0,1,1,1,1,38,32,42,22,5,27,7,3,3,38,55,46,54,50,44,63,34,1,59,4,14,9,51,60,35,37,1,37:14
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400424,2024-12-27T00:00:00,DEN vs. CLE,L,35.75,12,19,0.632,0,3,0.0,3,4,0.75,3,11,14,13,1,3,0,0,1,5,27,-15,71.3,1,1,60.0,1,47,47,47,48,27,32,25,59,38,59,45,45,41,22,22,22,13,58,8,34,1,8,36,39,67,19,1,1,32,1,35:45
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400409,2024-12-25T00:00:00,DEN @ PHX,L,37.8,10,19,0.526,2,7,0.286,3,4,0.75,5,10,15,2,2,2,0,1,1,4,25,-3,50.0,1,0,48.0,1,47,47,47,32,41,32,49,24,11,47,45,45,41,7,31,18,69,44,19,34,29,8,49,50,56,60,1,35,58,1,37:48
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400402,2024-12-23T00:00:00,DEN vs. PHX,W,29.743333333333332,12,17,0.706,4,6,0.667,4,5,0.8,0,2,2,7,1,0,0,0,1,6,32,19,43.9,0,0,45.0,1,1,1,1,66,27,42,10,5,20,10,35,39,31,64,69,70,57,58,63,34,1,8,24,26,20,65,60,35,62,1,29:45
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400390,2024-12-22T00:00:00,DEN @ NOP,W,42.56666666666667,11,20,0.55,2,3,0.667,3,5,0.6,2,11,13,10,3,1,1,3,5,5,27,6,60.6,1,1,56.0,1,1,1,1,5,32,26,41,24,38,10,45,39,58,39,22,33,27,31,40,11,67,66,36,39,39,47,1,1,42,1,42:34
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400371,2024-12-19T00:00:00,DEN @ POR,L,36.61666666666667,13,18,0.722,4,6,0.667,4,4,1.0,0,6,6,8,3,1,0,1,4,2,34,-5,53.2,0,0,54.0,1,47,47,47,43,18,38,8,5,20,10,35,45,1,64,59,67,50,31,40,34,29,59,67,20,59,57,60,35,49,1,36:37
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401225,2024-12-16T00:00:00,DEN @ SAC,W,38.3,8,19,0.421,1,6,0.167,3,4,0.75,2,12,14,13,5,2,1,0,0,3,20,4,60.3,1,1,54.0,1,1,1,1,24,56,32,66,42,20,57,45,45,41,39,16,22,13,9,19,11,1,1,55,58,44,48,1,1,49,1,38:18
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401213,2024-12-13T00:00:00,DEN vs. LAC,W,29.95,6,9,0.667,2,2,1.0,2,4,0.5,0,7,7,2,5,2,0,1,2,2,16,14,28.4,0,0,31.0,1,1,1,1,65,63,67,18,24,53,1,54,45,60,64,52,62,69,9,19,34,29,22,67,67,23,70,60,35,70,1,29:57
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400350,2024-12-08T00:00:00,DEN @ ATL,W,35.05,17,29,0.586,3,6,0.5,11,13,0.846,3,11,14,8,3,3,0,0,2,7,48,25,82.8,1,0,79.0,1,1,1,1,52,6,7,33,9,20,24,3,4,26,22,22,22,50,31,8,34,1,22,17,3,9,9,1,35,6,1,35:03
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400341,2024-12-07T00:00:00,DEN @ WAS,L,38.65,22,39,0.564,3,6,0.5,9,13,0.692,7,9,16,8,5,1,0,5,5,11,56,-1,85.2,1,0,85.0,1,47,47,47,21,1,1,38,9,20,24,9,4,51,2,39,15,50,9,40,34,70,66,4,2,52,6,1,35,2,1,38:39
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400325,2024-12-05T00:00:00,DEN @ CLE,L,38.666666666666664,13,26,0.5,0,3,0.0,1,1,1.0,3,17,20,11,3,3,0,1,3,4,27,-8,73.5,1,1,64.0,1,47,47,47,20,18,11,50,59,38,59,63,67,1,22,2,4,22,31,8,34,29,40,49,39,63,17,1,1,22,1,38:40
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400058,2024-12-03T00:00:00,DEN vs. GSW,W,40.03333333333333,14,24,0.583,3,4,0.75,7,9,0.778,2,8,10,6,4,5,1,1,1,5,38,23,73.0,1,0,69.0,1,1,1,1,9,14,14,34,9,32,8,18,14,39,39,46,48,61,20,1,11,29,8,36,12,12,18,1,35,13,1,40:02
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400314,2024-12-01T00:00:00,DEN @ LAC,L,39.06666666666667,12,24,0.5,2,7,0.286,2,4,0.5,3,11,14,11,5,1,1,1,3,3,28,-7,62.3,1,1,59.0,1,47,47,47,18,27,14,50,24,11,47,54,45,60,22,22,22,22,9,40,11,29,40,55,33,61,39,1,1,35,1,39:04
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400298,2024-11-27T00:00:00,DEN @ UTA,W,33.61666666666667,13,19,0.684,2,3,0.667,2,3,0.667,3,7,10,7,1,1,1,0,1,4,30,20,57.5,1,0,53.0,1,1,1,1,54,18,32,16,24,38,10,54,54,52,22,52,48,57,58,40,11,1,8,49,29,17,53,1,35,52,1,33:37
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400283,2024-11-25T00:00:00,DEN vs. NYK,L,31.833333333333332,9,20,0.45,2,7,0.286,2,2,1.0,3,4,7,7,0,1,0,1,1,4,22,-20,43.9,0,0,40.0,1,47,47,47,57,46,26,61,24,11,47,54,60,1,22,68,62,57,70,40,34,29,8,49,56,68,65,60,35,65,1,31:50
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400270,2024-11-23T00:00:00,DEN @ LAL,W,36.61666666666667,12,20,0.6,3,7,0.429,7,8,0.875,2,11,13,8,6,2,1,0,3,6,34,39,64.6,1,0,64.0,1,1,1,1,43,27,26,29,9,11,35,18,18,23,39,22,33,50,5,19,11,1,40,24,20,1,35,1,35,22,1,36:37
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400033,2024-11-22T00:00:00,DEN vs. DAL,L,39.46666666666667,13,22,0.591,2,2,1.0,5,7,0.714,6,11,17,10,3,0,0,2,0,8,33,4,65.4,1,1,62.0,1,47,47,47,15,18,18,31,24,53,1,29,25,48,5,22,11,27,31,63,34,57,1,10,23,44,31,1,1,26,1,39:28
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400208,2024-11-10T00:00:00,DEN vs. DAL,W,38.00333333333333,13,21,0.619,3,3,1.0,8,8,1.0,8,10,18,15,4,3,0,2,2,6,37,13,86.1,1,1,79.0,1,1,1,1,31,18,23,28,9,38,1,11,18,1,1,31,6,7,20,8,34,57,22,24,14,26,5,1,1,6,1,38:00
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400194,2024-11-08T00:00:00,DEN vs. MIA,W,39.99166666666667,11,13,0.846,1,1,1.0,7,7,1.0,2,9,11,14,5,2,0,0,2,6,30,26,65.2,1,1,60.0,1,1,1,1,10,32,57,1,42,63,1,18,25,1,39,39,46,11,9,19,34,1,22,24,29,8,34,1,1,32,1,39:60
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400177,2024-11-06T00:00:00,DEN vs. OKC,W,39.47666666666667,9,20,0.45,1,3,0.333,4,6,0.667,7,13,20,16,5,2,2,4,2,6,23,8,78.0,1,1,68.0,1,1,1,1,14,46,26,61,42,38,41,35,32,52,2,10,4,5,9,19,3,69,22,24,53,32,13,1,1,15,1,39:29
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400166,2024-11-04T00:00:00,DEN vs. TOR,W,38.2,10,22,0.455,1,5,0.2,7,8,0.875,5,9,14,13,7,1,2,1,2,8,28,-1,66.3,1,1,62.0,1,1,1,1,27,41,18,60,42,27,54,18,18,23,7,39,22,13,1,40,3,29,22,10,33,52,29,1,1,26,1,38:12
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400148,2024-11-02T00:00:00,DEN vs. UTA,W,29.7,10,18,0.556,3,4,0.75,4,4,1.0,5,11,16,9,5,1,0,1,1,5,27,31,57.7,1,0,57.0,1,1,1,1,67,41,38,40,9,32,8,35,45,1,7,22,15,41,9,40,34,29,8,36,39,5,52,1,35,41,1,29:42
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400139,2024-11-01T00:00:00,DEN @ MIN,L,39.693333333333335,8,16,0.5,2,3,0.667,8,10,0.8,2,7,9,13,3,3,1,1,1,7,26,6,65.3,1,0,58.0,1,47,47,47,12,56,46,50,24,38,10,11,9,31,39,52,54,13,31,8,11,29,8,17,46,39,32,1,35,37,1,39:42
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400113,2024-10-29T00:00:00,DEN @ BKN,W,40.516666666666666,9,16,0.563,0,0,0.0,11,13,0.846,6,12,18,16,1,0,1,0,3,12,29,8,76.6,1,1,65.0,1,1,1,1,8,46,46,39,59,69,59,3,4,26,5,16,6,5,58,63,11,1,40,2,31,32,14,1,1,18,1,40:31
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400107,2024-10-28T00:00:00,DEN @ TOR,W,43.675,18,27,0.667,3,5,0.6,1,2,0.5,3,7,10,4,3,1,2,0,2,3,40,9,64.0,1,0,63.0,1,1,1,1,3,3,10,18,9,27,19,63,60,60,22,52,48,66,31,40,3,1,22,55,8,30,36,1,35,25,1,43:41
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400087,2024-10-26T00:00:00,DEN vs. LAC,L,36.766666666666666,14,26,0.538,7,12,0.583,6,8,0.75,3,6,9,4,5,2,1,1,2,8,41,7,61.8,0,0,67.0,1,47,47,47,41,14,11,45,1,3,21,24,18,41,22,59,54,66,9,19,11,29,22,10,5,36,41,60,35,16,1,36:46
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400075,2024-10-24T00:00:00,DEN vs. OKC,L,35.205,6,13,0.462,1,3,0.333,3,4,0.75,4,8,12,13,3,2,1,2,3,5,16,-9,55.9,1,1,48.0,1,47,47,47,50,63,57,58,42,38,41,45,45,41,14,46,40,13,31,19,11,57,40,36,67,64,54,1,1,58,1,35:12
